,query,value
0,"a swimming pool is to be constructed in a 1,176-ft2 backyard. there is to be a fence that will surround a 14-by-28-foot pool. the pool builder wants to build a concrete paver deck of a uniform width, x, surrounding the pool and filling the entire area of the backyard. what is the width of the pool deck?",24550
1,pool deck contractor,200
2,pool deck cleaning,100
3,cool pool deck coating,90
4,epoxy pool deck,80
5,pool deck coatings,70
6,pool deck chairs,70
7,pool deck drain channel,60
8,pool deck coating,60
9,pool deck box,40
