id,question,intent,lead_stage,area,pillar,evidence,source,volume,url,format
1,How much does a concrete driveway cost in Kissimmee?,cost,consider,Kissimmee,concrete,AUTOCOMPLETE;TRENDS,"google: concrete driveway cost florida / how much does a driveway concrete cost; trends top: concrete driveway cost (100)",—,/pricing/concrete/,cost guide table
2,How much does a 2-car concrete driveway cost?,cost,consider,Osceola,concrete,AUTOCOMPLETE,"google: how much does a 2 car concrete driveway cost; how much to pour a 2 car driveway",—,/pricing/concrete/,cost guide table
3,How much does a paver driveway cost in Kissimmee?,cost,consider,Kissimmee,pavers,AUTOCOMPLETE,"bing: how much does a paver driveway cost; paver driveway cost per square foot",—,/pricing/pavers/,cost guide table
4,What do pavers cost per square foot installed in Central Florida?,cost,consider,Osceola,pavers,AUTOCOMPLETE,"bing: driveway pavers cost per square foot; paver stone driveway cost",—,/pricing/pavers/,table
5,How much does a 12x12 concrete patio cost?,cost,consider,Osceola,concrete,EXPERT-GAP,"typical project size used by homeowners; no city volume",—,/pricing/concrete/,cost guide section
6,How much does a 600 sq ft paver pool deck cost?,cost,consider,Osceola,pavers,EXPERT-GAP,"resort-home pool deck size; competitor gap",—,/pricing/pavers/,cost guide section
7,How much does a travertine pool deck cost?,cost,consider,Osceola,pavers,AUTOCOMPLETE,"google: travertine pavers pool deck cost; bing: cost of travertine pool deck",—,/pavers/travertine/,capsule + table
8,How much does stamped concrete cost compared with plain broom finish?,cost,consider,Osceola,concrete,AUTOCOMPLETE;TRENDS,"google: stamped concrete vs pavers cost; trends top: stamped concrete cost (58)",—,/concrete/stamped/,capsule + table
9,How much does a concrete slab for a shed cost?,cost,consider,Osceola,concrete,AUTOCOMPLETE,"seed: concrete slab for shed cost",—,/concrete/slabs/,capsule + calculator link
10,How much does concrete driveway replacement cost?,cost,consider,Osceola,concrete,AUTOCOMPLETE,"google: concrete driveway replacement cost; ...cost per square foot; ...cost calculator",—,/pricing/concrete/,cost guide section
11,How much does it cost to remove an old concrete driveway?,cost,consider,Osceola,concrete,COMPETITOR,"concretenetwork/homeadvisor demolition $2-4/sq ft",—,/pricing/concrete/,table row
12,How much does paver sealing cost?,cost,consider,Osceola,pavers,AUTOCOMPLETE,"google: paver sealing cost",—,/pavers/sealing/,capsule
13,How much does paver driveway repair cost?,cost,consider,Osceola,pavers,AUTOCOMPLETE,"google: paver driveway repair cost",—,/pavers/repair/,capsule
14,How much does concrete driveway repair cost?,cost,consider,Osceola,concrete,TRENDS,"trends rising: concrete driveway repair cost",—,/concrete/repair/,capsule
15,How much does concrete resurfacing cost versus replacement?,cost,consider,Osceola,concrete,EXPERT-GAP,"competitor gap; seed resurfacing vs replacement",—,/compare/resurface-vs-replace/,comparison table
16,How much does an epoxy or polyaspartic garage floor cost?,cost,consider,Osceola,coatings,AUTOCOMPLETE;TRENDS,"google: how much does a garage epoxy floor cost; trends rising: how much does it cost to epoxy a garage floor",—,/coatings/garage-floors/,capsule + table
17,How much do concrete contractors charge?,cost,consider,Osceola,concrete,AUTOCOMPLETE,"google: how much do concrete contractors charge; concrete contractor cost",—,/faq/cost/,short FAQ
