key,item,unit,low_usd,high_usd,notes,release,release_date,license
concrete-driveway-broom,"Concrete driveway, broom finish, 4 in, 3,000 psi, fiber + rebar at edges",sq ft,8.5,13.5,New pour on prepared base; demolition of an old slab adds $2.00–$4.00,Q3 2026,2026-09-10,CC BY 4.0
concrete-driveway-6in,"Concrete driveway, 6 in, 4,000 psi with #4 rebar grid (RV/boat loads)",sq ft,11.5,17.0,"Thicker slab, more steel, same forming and finishing labor",Q3 2026,2026-09-10,CC BY 4.0
concrete-patio,"Concrete patio, 4 in, broom or smooth",sq ft,8.0,12.5,Small pours cost more per foot; under 200 sq ft expect the top of the range,Q3 2026,2026-09-10,CC BY 4.0
stamped-concrete,"Stamped concrete, integral color + release + sealer",sq ft,14.0,22.0,Pattern complexity and two-color work push toward the top,Q3 2026,2026-09-10,CC BY 4.0
concrete-slab-pad,"Concrete pad (shed, AC, generator, hot tub), 4 in",sq ft,9.0,15.0,"Minimum-charge jobs; a 10x12 pad typically lands at $1,200–$1,900",Q3 2026,2026-09-10,CC BY 4.0
concrete-sidewalk,"Concrete walkway, 4 in, broom",lin ft (4 ft wide),34.0,52.0,About $8.50–$13.00 per sq ft,Q3 2026,2026-09-10,CC BY 4.0
concrete-removal,Demolition and haul-off of existing concrete,sq ft,2.0,4.0,Thicker slabs and limited access cost more,Q3 2026,2026-09-10,CC BY 4.0
concrete-resurfacing,Polymer overlay / resurfacing over sound concrete,sq ft,5.0,9.5,Only over slabs with a stable base,Q3 2026,2026-09-10,CC BY 4.0
paver-driveway-concrete,"Paver driveway, concrete pavers (60–80 mm), 6 in limerock base",sq ft,14.0,22.0,"Borders, bands and cuts add; removal of old concrete adds $2.00–$4.00",Q3 2026,2026-09-10,CC BY 4.0
paver-driveway-premium,"Paver driveway, premium line (Belgard Luxury, large format)",sq ft,20.0,34.0,Material-driven,Q3 2026,2026-09-10,CC BY 4.0
paver-patio,"Paver patio, concrete pavers, 4–5 in base",sq ft,13.0,21.0,,Q3 2026,2026-09-10,CC BY 4.0
paver-pool-deck,"Paver pool deck over existing deck (thin pavers, coping)",sq ft,15.0,24.0,Coping and drain work priced separately,Q3 2026,2026-09-10,CC BY 4.0
travertine-pool-deck,"Travertine pool deck, tumbled, sand-set or thin-set",sq ft,20.0,36.0,Marble and large-format porcelain run higher,Q3 2026,2026-09-10,CC BY 4.0
paver-walkway,Paver walkway,sq ft,14.0,24.0,Narrow runs cost more per foot,Q3 2026,2026-09-10,CC BY 4.0
paver-sealing,"Paver clean, re-sand (polymeric) and seal",sq ft,1.75,3.25,Stripping an old failed sealer adds $0.75–$1.50,Q3 2026,2026-09-10,CC BY 4.0
paver-repair,Paver lift-and-relay of a sunken area,sq ft,9.0,16.0,Minimum charge applies to small areas,Q3 2026,2026-09-10,CC BY 4.0
epoxy-garage,"Garage floor coating, flake system with polyaspartic top coat",sq ft,6.0,10.0,"2-car garage (400–480 sq ft): $2,600–$4,600",Q3 2026,2026-09-10,CC BY 4.0
ready-mix,"Ready-mix concrete, 3,000–4,000 psi, delivered (Orlando market)",cu yd,175.0,280.0,"Supplier public price lists, Sept 2026; short-load and fuel surcharges extra",Q3 2026,2026-09-10,CC BY 4.0
